title,date_time,location,price,url
Day Party LA: Season Finale,,,,https://www.eventbrite.com/e/day-party-la-season-finale-tickets-1693673586289
M·A·C Match Day - All US Stores!,,,Free,https://www.eventbrite.com/e/mac-match-day-all-us-stores-tickets-1681251802399
33rd Folsom Renaissance Faire & Joust,,,,https://www.eventbrite.com/e/33rd-folsom-renaissance-faire-joust-tickets-1266843215159
"Dallas Country Music Festival: McKinney-Allen on November 1 & 2, 2025",,,$7.18,https://www.eventbrite.com/e/dallas-country-music-festival-mckinney-allen-on-november-1-2-2025-tickets-1086553543899
ROOFTOP VYBEZ DAY PARTY | EVERY SATURDAY,,,Free,https://www.eventbrite.com/e/rooftop-vybez-day-party-every-saturday-tickets-130323899291
Where Plants Come From,,,,https://www.eventbrite.com/e/where-plants-come-from-tickets-1607204454789
Star 94.5 Heart & Soul Music Festival,,,,https://www.eventbrite.com/e/star-945-heart-soul-music-festival-tickets-1434787932329
Career Fair: Exclusive Tech Hiring Event-New Tickets Available,,,Free,https://www.eventbrite.com/e/career-fair-exclusive-tech-hiring-event-new-tickets-available-tickets-63049080497
LYFE ATL THIS SATURDAY [FREE ENTRY W/ RSVP],,,$0 – $25.04,https://www.eventbrite.com/e/lyfe-atl-this-saturday-free-entry-w-rsvp-tickets-1021242573027
Modeling & AI in Generic Drug Development: Reg Insights & Future Trends,,,$0 – $350,https://www.eventbrite.com/e/modeling-ai-in-generic-drug-development-reg-insights-future-trends-tickets-1550089562609
Strategies to De-escalate Children in Distress [Free Webinar],,,,https://www.eventbrite.com/e/strategies-to-de-escalate-children-in-distress-free-webinar-tickets-1563224930849
"RAVE CRUSADE PRESENTS: RAVE JESUS @ 11:11 IN EL PASO, TEXAS",,,Free,https://www.eventbrite.com/e/rave-crusade-presents-rave-jesus-1111-in-el-paso-texas-tickets-1486801877439
How to Do a Venture Capital Financing,,,Free,https://www.eventbrite.com/e/how-to-do-a-venture-capital-financing-tickets-812165377507
"FREE Latino Carnival: Banda El Limon, Banda Maguey, Baby Bash, Frankie J...",,,$0 – $43.80,https://www.eventbrite.com/e/free-latino-carnival-banda-el-limon-banda-maguey-baby-bash-frankie-j-tickets-1665556898519
Sky Wars 2025 - US Invitational Fireworks Championship,,,$72.11,https://www.eventbrite.com/e/sky-wars-2025-us-invitational-fireworks-championship-tickets-745670329027
San Jose Career Fair,,,Free,https://www.eventbrite.com/e/san-jose-career-fair-tickets-779022676797
DOMAINE ATL FRIDAYS - FREE W/ RSVP [EVERYONE INVITED],,,$0 – $25.04,https://www.eventbrite.com/e/domaine-atl-fridays-free-w-rsvp-everyone-invited-tickets-1250052664169
Red Bull Tandem Rollercoaster,,,Free,https://www.eventbrite.com/e/red-bull-tandem-rollercoaster-tickets-1690991484049
FLIRT FRIDAYS | SEVEN MIDTOWN,,,Free,https://www.eventbrite.com/e/flirt-fridays-seven-midtown-tickets-221137326697
SB Sunnyvale Basement Basement Sale,,,Free,https://www.eventbrite.com/e/sb-sunnyvale-basement-basement-sale-tickets-1712481621629
